,AGENT_EXECUTING,AGENT_EXECUTING_PENDING,AGENT_SCHEDULING,AGENT_SCHEDULING_PENDING,AGENT_STAGING_INPUT,AGENT_STAGING_INPUT_PENDING,AGENT_STAGING_OUTPUT,AGENT_STAGING_OUTPUT_PENDING,CANCELED,DONE,FAILED,NEW,UMGR_SCHEDULING,UMGR_SCHEDULING_PENDING,UMGR_STAGING_INPUT,UMGR_STAGING_INPUT_PENDING,UMGR_STAGING_OUTPUT,UMGR_STAGING_OUTPUT_PENDING,U_AGENT_EXECUTING,U_AGENT_QUEUING,U_AGENT_QUEUING_EXEC,U_AGENT_SCHEDULING,U_UMGR_BINDING,U_UMGR_SCHEDULING,cu_exec_start_stop,experiment,hid,pid,sid,uid,util_u_eprep,util_u_equeue,util_u_exec_app,util_u_exec_cu,util_u_exec_orte,util_u_exec_rp,util_u_pre_exec,util_u_total,util_u_unschedule
15,70.05099987983704,69.78689980506897,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,670.294499874115,670.2886998653412,,672.5449998378754,,68.06289982795715,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,670.2954998016357,600.2376999855042,0.007200002670288086,0.2641000747680664,0.02629995346069336,0.0060999393463134766,0.37440013885498047,600.1437997817993,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000015,0.006799936294555664,0.2653999328613281,,0.05410003662109375,,0.026800155639648438,0.017800092697143555,600.5065999031067,
16,70.07129979133606,69.78849983215332,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,670.2917997837067,670.2876999378204,,672.5449998378754,,68.06439995765686,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,670.2926998138428,600.2164001464844,0.007200002670288086,0.28279995918273926,0.027899980545043945,0.0060999393463134766,0.37290000915527344,600.1056001186371,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000016,0.005900144577026367,0.284099817276001,,0.06489992141723633,,0.028599977493286133,0.018599987030029297,600.5025999546051,
17,70.1020998954773,69.7901999950409,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,670.389899969101,670.3894000053406,,672.5449998378754,,68.06589984893799,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,670.3912999629974,600.2873001098633,0.007200002670288086,0.31189990043640137,0.029600143432617188,0.0060999393463134766,0.3714001178741455,600.100800037384,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000017,0.004400014877319336,0.31329989433288574,,0.08489990234375,,0.02670001983642578,0.02090001106262207,600.6010999679565,
18,70.12649989128113,69.79169988632202,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,670.3930997848511,670.3902997970581,,672.5449998378754,,68.06719994544983,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,670.3939998149872,600.263799905777,0.007200002670288086,0.33480000495910645,0.031100034713745117,0.0060999393463134766,0.3701000213623047,600.1150000095367,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000018,0.004800081253051758,0.33610010147094727,,0.041899919509887695,,0.030699968338012695,0.01959991455078125,600.601900100708,
19,70.15849995613098,69.79320001602173,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,670.3916997909546,670.3897998332977,,672.5449998378754,,68.06849980354309,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,670.3926999568939,600.2312998771667,0.007200002670288086,0.36529994010925293,0.03260016441345215,0.0060999393463134766,0.36880016326904297,600.123300075531,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000019,0.004600048065185547,0.3665001392364502,,0.05340003967285156,,0.02989983558654785,0.005399942398071289,600.599100112915,
20,70.17159986495972,69.7947998046875,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,670.4916999340057,670.4911999702454,,672.5449998378754,,68.0699999332428,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,670.4926998615265,600.3196001052856,0.007200002670288086,0.3768000602722168,0.03419995307922363,0.0060999393463134766,0.36730003356933594,600.1588001251221,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000020,0.006000041961669922,0.3780999183654785,,0.06869983673095703,,0.041500091552734375,0.01959991455078125,600.6980998516083,
21,70.1943998336792,69.79639983177185,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,670.4944999217987,670.4921000003815,,672.5449998378754,,68.07129979133606,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,670.4953999519348,600.2977001667023,0.007200002670288086,0.39800000190734863,0.03579998016357422,0.0060999393463134766,0.3660001754760742,600.1269998550415,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000021,0.004000186920166016,0.39929986000061035,,0.04220008850097656,,0.03849983215332031,0.0025000572204589844,600.6989998817444,
22,70.21039986610413,69.79809999465942,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,670.4930999279022,670.4915997982025,,672.5449998378754,,68.0725998878479,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,670.494099855423,600.2811999320984,0.007200002670288086,0.41229987144470215,0.03750014305114746,0.0060999393463134766,0.3647000789642334,600.1538000106812,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000022,0.011700153350830078,0.41359996795654297,,0.073699951171875,,0.033699989318847656,0.014600038528442383,600.6960999965668,
23,70.23129987716675,69.79970002174377,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,670.4958999156952,670.4925999641418,,672.5449998378754,,68.07389998435974,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,670.4968998432159,600.2613000869751,0.007200002670288086,0.43159985542297363,0.03910017013549805,0.0060999393463134766,0.3633999824523926,600.1383998394012,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000023,0.010699987411499023,0.43289995193481445,,0.04900002479553223,,0.02590012550354004,0.003400087356567383,600.6970000267029,
24,70.25300002098083,69.80129981040955,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,670.593799829483,670.5932998657227,,672.5449998378754,,68.07509994506836,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,670.5947999954224,600.3402998447418,0.007200002670288086,0.45170021057128906,0.04069995880126953,0.0060999393463134766,0.3622000217437744,600.1429998874664,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000024,0.016699790954589844,0.4530000686645508,,0.07220005989074707,,0.014800071716308594,0.01789999008178711,600.7936999797821,
25,70.27989983558655,69.80309987068176,69.76059985160828,69.75339984893799,69.75249981880188,68.45239996910095,670.5964999198914,670.5941998958588,,672.5449998378754,,68.07649993896484,68.44339990615845,68.43729996681213,68.45159983634949,68.44579982757568,672.5441999435425,670.5972998142242,600.3143000602722,0.007200002670288086,0.47679996490478516,0.04250001907348633,0.0060999393463134766,0.36080002784729004,600.1467998027802,exp3,sdsc.edu,pilot.0000,rp.session.two.jdakka.017783.0013,unit.000025,0.004800081253051758,0.47819995880126953,,0.09080004692077637,,0.02670001983642578,0.028699874877929688,600.7943999767303,
